name   , method       , Texp   , Tcal                  , HF
273Ds_a, DZR          , 0.03   , 0.000492573303488954  ,    60.90464056315377
273Ds_b, DZR          , 0.03   , 0.0003306411869016125 ,    90.73279793459902
273Ds_c, DZR          , 0.00018, 9.033399034676905e-05 ,     1.9926054335585766
269Hs_a, DZR          , 8.5    , 6.25345092186605      ,     1.359249493792073
269Hs_b, DZR          , 8.5    , 23.232149452648336    ,     0.36587230197208664
273Ds_a, P2           , 0.03   , 2.508497017585703e-06 , 11959.35246870392
273Ds_b, P2           , 0.03   , 1.784695909587367e-06 , 16809.586349607416
273Ds_c, P2           , 0.00018, 5.909257412637387e-07 ,   304.60680155015183
269Hs_a, P2           , 8.5    , 0.01886451555313984   ,   450.58140910410214
269Hs_b, P2           , 8.5    , 0.06070186969416852   ,   140.02863573766615
273Ds_a, Poenaru      , 0.03   , 2.508497017585703e-06 , 11959.35246870392
273Ds_b, Poenaru      , 0.03   , 1.784695909587367e-06 , 16809.586349607416
273Ds_c, Poenaru      , 0.00018, 5.909257412637387e-07 ,   304.60680155015183
269Hs_a, Poenaru      , 8.5    , 0.01886451555313984   ,   450.58140910410214
269Hs_b, Poenaru      , 8.5    , 0.06070186969416852   ,   140.02863573766615
273Ds_a, Viola-Seaborg, 0.03   , 0.0002042174206783861 ,   146.90225691982374
273Ds_b, Viola-Seaborg, 0.03   , 0.00013753299108487408,   218.12948124924048
273Ds_c, Viola-Seaborg, 0.00018, 3.79795227531868e-05  ,     4.739396046910477
269Hs_a, Viola-Seaborg, 8.5    , 2.612013736105652     ,     3.2541942190062767
269Hs_b, Viola-Seaborg, 8.5    , 9.571159993033376     ,     0.8880846215283155
