Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l,Ad,Zd,Ac_used,Zc_used,Qc_QiUDL_MeV,Q_source,coeff_set_QiUDL,chi_prime,rho_prime,log10T_Qi2009_UDL_s,T_Qi2009_UDL_s,Talpha_exp_s,HF_Qi2009_UDL,log10HF_Qi2009_UDL
246Fm,246,100,8.24276,1.54,0.936,0,242,98,4,2,8.379003966942149,Ealpha_MeV converted by A/(A-4),alpha,134.31669544608243,77.65617754139825,0.33325856073572524,2.154063792362275,1.6452991452991452,0.763811708424295,-0.11701368863736736
248Fm,248,100,7.86605,34.5,0.0099,0,244,98,4,2,7.995001639344263,Ealpha_MeV converted by A/(A-4),alpha,137.5136663341258,77.74632737795713,1.5939636321848063,39.26120566936281,3484.8484848484845,88.76060797001607,1.9482202682909178
250Fm,250,100,7.43609,1860.0,1.0,0,246,98,4,2,7.557002032520326,Ealpha_MeV converted by A/(A-4),alpha,141.4519199958309,77.83585007936684,3.1562705090902163,1433.0802443135865,1860.0,1.2979035942895847,0.11324243512769996
252Fm,252,100,7.02243,91368.0,1.0,0,248,98,4,2,7.135695,Ealpha_MeV converted by A/(A-4),alpha,145.57724547203986,77.92475530584248,4.794888272035504,62357.439213563775,91368.0,1.4652301497994475,0.1659058464904695
254Fm,254,100,7.19222,11664.0,0.9994,0,250,98,4,2,7.307295519999999,Ealpha_MeV converted by A/(A-4),alpha,143.8668972557117,78.0130524886283,4.061566806599142,11523.033025663626,11671.002601560936,1.0128412003651954,0.005541359268189203
256Fm,256,100,6.91553,9426.0,0.919,0,252,98,4,2,7.025300317460318,Ealpha_MeV converted by A/(A-4),alpha,146.73506462386734,78.1007508372856,5.189670083648249,154764.04909319585,10256.800870511424,0.06627379504871303,-1.1786581596107433
252No,252,102,8.4133,2.467,0.676,0,248,100,4,2,8.548998387096773,Ealpha_MeV converted by A/(A-4),alpha,135.7150289836057,78.71588985580517,0.44483916499810405,2.7850895579199135,3.6494082840236683,1.3103378574114093,0.11738328854999602
254No,254,102,8.09646,51.2,0.9,0,250,100,4,2,8.22600336,Ealpha_MeV converted by A/(A-4),alpha,138.36259418110717,78.80508347967306,1.4826230465330106,30.38246781624524,56.88888888888889,1.8724248877002316,0.2724044050034954
256No,256,102,8.44791,2.91,0.9945,0,252,100,4,2,8.58200380952381,Ealpha_MeV converted by A/(A-4),alpha,135.47087240226637,78.89367218972225,0.26894755053200825,1.8575801027785466,2.9260935143288083,1.5752179461612406,0.1973406509934446
256Rf,256,104,8.78653,0.0066,0.0031,0,252,102,4,2,8.925998730158732,Ealpha_MeV converted by A/(A-4),alpha,135.49149677846657,79.67870318856188,-0.06109550414236864,0.8687693603233381,2.129032258064516,2.4506300006622403,0.3892777458499646
258Rf,258,104,9.05343,0.0125,0.951,0,254,102,4,2,9.196003700787402,Ealpha_MeV converted by A/(A-4),alpha,133.49579921420485,79.76757164362407,-0.9106577549920623,0.12284068937330347,0.013144058885383808,0.10700085576237704,-0.9706127489372952
260Sg,260,106,9.74868,0.00495,0.71,0,256,104,4,2,9.901003125,Ealpha_MeV converted by A/(A-4),alpha,131.1858641715932,80.63494719327188,-2.223571949266873,0.005976240285268973,0.006971830985915494,1.1665914777725026,0.06691879948136634
262Sg,262,106,9.45344,0.0085,0.06,0,258,104,4,2,9.60000496124031,Ealpha_MeV converted by A/(A-4),alpha,133.2345345914788,80.72349437165104,-1.42896011218264,0.03724259101764093,0.1416666666666667,3.8038885801356455,0.5802277875132893
264Hs,264,108,10.4305,0.00063,0.7,0,260,106,4,2,10.59096923076923,Ealpha_MeV converted by A/(A-4),alpha,129.29529279922818,81.58479349338491,-3.4015679521119857,0.0003966724585133122,0.0009000000000000001,2.2688744345223966,0.35581046155131063
266Hs,266,108,10.1904,0.00074,0.76,0,262,106,4,2,10.3459786259542,Ealpha_MeV converted by A/(A-4),alpha,130.82474458217695,81.6730232639529,-2.8178816564351727,0.0015209619295057295,0.0009736842105263157,0.640176582751638,-0.19370021611464247
268Hs,268,108,9.47937,0.4,1.0,0,264,106,4,2,9.622996818181818,Ealpha_MeV converted by A/(A-4),alpha,135.6579506226858,81.76068325273927,-0.8909736221341298,0.12853647271310792,0.4,3.111957186601782,0.49303361346209224
270Hs,270,108,8.93563,7.6,1.0,0,266,106,4,2,9.07000037593985,Ealpha_MeV converted by A/(A-4),alpha,139.74012914936566,81.84778161256921,0.7308838460385481,5.3812583915526115,7.6,1.4123090636068178,0.14992974624224328
272Hs,272,108,9.62829,0.16,1.0,0,268,106,4,2,9.77199582089552,Ealpha_MeV converted by A/(A-4),alpha,134.63474908715128,81.93432631660681,-1.3817625711622092,0.041518096007426425,0.16,3.8537412691415445,0.585882553818134
270Ds,270,110,10.9523,0.0002,1.0,0,266,108,4,2,11.116996240601502,Ealpha_MeV converted by A/(A-4),alpha,128.60236449861327,82.61632224456416,-4.127935350945318,7.448428429218537e-05,0.0002,2.6851301841801183,0.42896534660929925
276Ds,276,110,10.746,0.00015,0.43,0,272,108,4,2,10.904029411764707,Ealpha_MeV converted by A/(A-4),alpha,129.87338218970274,82.87674904290674,-3.7235366522829345,0.00018900067173384147,0.00034883720930232553,1.845692960253456,0.2661594557590292
284Cn,284,112,9.32676,0.098,0.02,0,280,110,4,2,9.459999428571429,Ealpha_MeV converted by A/(A-4),alpha,142.04533228337732,83.98350560864051,0.7472383053079561,5.587767216153408,4.9,0.8769155568676564,-0.05704222527944236
284Fl,284,114,10.57,0.0025,0.24,0,280,112,4,2,10.721,Ealpha_MeV converted by A/(A-4),alpha,135.85643422703046,84.74355282548606,-2.0962051097791665,0.008012995340848495,0.010416666666666668,1.29997163651959,0.11393387673959815
286Fl,286,114,10.1905,105.0,0.4,0,282,112,4,2,10.33504609929078,Ealpha_MeV converted by A/(A-4),alpha,138.37681890044843,84.82874449384087,-1.1083948682625184,0.07791213973614382,262.5,3369.1797053575847,3.527524176004494
288Fl,288,114,9.93606,0.64,1.0,0,284,112,4,2,10.076004507042253,Ealpha_MeV converted by A/(A-4),alpha,140.15118159832525,84.91342658595893,-0.42362288148768457,0.3770310508363132,0.64,1.6974729231992458,0.22980285547157173
290Fl,290,114,9.724,0.46,1.0,0,286,112,4,2,9.86,Ealpha_MeV converted by A/(A-4),alpha,141.68490200776162,84.99760585907345,0.1635447803085306,1.4572859584253062,0.46,0.3156552750271885,-0.5007869486269565
288Lv,288,116,11.0839,0.002,1.0,0,284,114,4,2,11.240011267605635,Ealpha_MeV converted by A/(A-4),alpha,135.06548907416666,85.66822744402167,-2.816351542468997,0.0015263300603521848,0.002,1.3103325761261104,0.11738153813297807
290Lv,290,116,10.8483,0.0083,1.0,0,286,114,4,2,11.000024475524476,Ealpha_MeV converted by A/(A-4),alpha,136.537527627356,85.75315499205728,-2.2545801365556777,0.005564419494271174,0.0083,1.4916201067416346,0.17365822893175165
292Lv,292,116,10.6432,0.013,1.0,0,288,114,4,2,10.791022222222223,Ealpha_MeV converted by A/(A-4),alpha,137.86002958976846,85.8375819294608,-1.7533795415496733,0.017644951072633617,0.013,0.7367546640671795,-0.1326771061434899
294Og,294,118,11.7085,0.00058,1.0,0,290,116,4,2,11.869996551724139,Ealpha_MeV converted by A/(A-4),alpha,133.75746148022486,86.67193528932893,-3.780763211518302,0.00016566729778388524,0.00058,3.5009926989731928,0.5441912050812392
